Change Physical Footprint: Designator=A_ON Old Footprint=LED_0603_BLUE New Footprint=LED_0603_BLUE
Change Physical Footprint: Designator=C1 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C2 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C3 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C4 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C5 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C6 Old Footprint=CAP_EEEHA0J101WR New Footprint=CAP_EEEHA0J101WR
Change Physical Footprint: Designator=C7 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C8 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C9 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C10A Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C10B Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C10C Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C10D Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C11A Old Footprint=CAP_EEEHA0J101WR New Footprint=CAP_EEEHA0J101WR
Change Physical Footprint: Designator=C11B Old Footprint=CAP_EEEHA0J101WR New Footprint=CAP_EEEHA0J101WR
Change Physical Footprint: Designator=C11C Old Footprint=CAP_EEEHA0J101WR New Footprint=CAP_EEEHA0J101WR
Change Physical Footprint: Designator=C11D Old Footprint=CAP_EEEHA0J101WR New Footprint=CAP_EEEHA0J101WR
Change Physical Footprint: Designator=C12 Old Footprint=CAP_0402 New Footprint=CAP_0402
Change Physical Footprint: Designator=C13 Old Footprint=CAP_0402 New Footprint=CAP_0402
Change Physical Footprint: Designator=C14 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C15 Old Footprint=CAP_EEEHA0J101WR New Footprint=CAP_EEEHA0J101WR
Change Physical Footprint: Designator=C16 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=F1A Old Footprint=FUSE_1206 New Footprint=FUSE_1206
Change Physical Footprint: Designator=F1B Old Footprint=FUSE_1206 New Footprint=FUSE_1206
Change Physical Footprint: Designator=F1C Old Footprint=FUSE_1206 New Footprint=FUSE_1206
Change Physical Footprint: Designator=F1D Old Footprint=FUSE_1206 New Footprint=FUSE_1206
Change Physical Footprint: Designator=FB1 Old Footprint=FB_0603 New Footprint=FB_0603
Change Physical Footprint: Designator=FB2A Old Footprint=FB_0603 New Footprint=FB_0603
Change Physical Footprint: Designator=FB2B Old Footprint=FB_0603 New Footprint=FB_0603
Change Physical Footprint: Designator=FB2C Old Footprint=FB_0603 New Footprint=FB_0603
Change Physical Footprint: Designator=FB2D Old Footprint=FB_0603 New Footprint=FB_0603
Change Physical Footprint: Designator=FB3 Old Footprint=FB_0603 New Footprint=FB_0603
Change Physical Footprint: Designator=J1 Old Footprint=MOLEX_47346-0001 New Footprint=MOLEX_47346-0001
Change Physical Footprint: Designator=J2A Old Footprint=AMPHENOL_87520-0010BLF New Footprint=AMPHENOL_87520-0010BLF
Change Physical Footprint: Designator=J2B Old Footprint=AMPHENOL_87520-0010BLF New Footprint=AMPHENOL_87520-0010BLF
Change Physical Footprint: Designator=J2C Old Footprint=AMPHENOL_87520-0010BLF New Footprint=AMPHENOL_87520-0010BLF
Change Physical Footprint: Designator=J2D Old Footprint=AMPHENOL_87520-0010BLF New Footprint=AMPHENOL_87520-0010BLF
Change Physical Footprint: Designator=J3 Old Footprint=CON-SOCJ-2155 New Footprint=CON-SOCJ-2155
Change Physical Footprint: Designator=Q1 Old Footprint=SSM3J338R,LF-SOT23-F New Footprint=SSM3J338R,LF-SOT23-F
Change Physical Footprint: Designator=R1 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R2 Old Footprint=RES_0805 New Footprint=RES_0805
Change Physical Footprint: Designator=R3 Old Footprint=RES_0805 New Footprint=RES_0805
Change Physical Footprint: Designator=R4 Old Footprint=RES_0805 New Footprint=RES_0805
Change Physical Footprint: Designator=R5 Old Footprint=RES_0805 New Footprint=RES_0805
Change Physical Footprint: Designator=R6 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R7 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R8 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R9 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R10 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=XTAL Old Footprint=XTAL_3215-2 New Footprint=XTAL_3215-2
